model,all,top,bottom
OLS,-12.07,-26.9,-7.55
OLS-3,2.5,2.44,4.8
LASSO,2.7,1.91,4.99
PLS,2.93,1.78,5.27
PCR,3.08,1.55,5.44
GL,2.4,1.67,4.2
BoostTree,3.61,4.23,4.61
